NGAY;BO_SO;SO1;SO2;SO3;SO4;SO5;SO6
27/08/2021;04 10 11 15 24 37;4;10;11;15;24;37
25/08/2021;01 03 05 17 22 33;1;3;5;17;22;33
22/08/2021;06 07 18 25 40 43;6;7;18;25;40;43
20/08/2021;04 08 17 27 32 36;4;8;17;27;32;36
18/08/2021;10 16 19 27 28 36;10;16;19;27;28;36
23/07/2021;19 26 31 33 41 42;19;26;31;33;41;42
21/07/2021;08 10 12 29 34 37;8;10;12;29;34;37
18/07/2021;03 08 19 21 25 36;3;8;19;21;25;36
16/07/2021;01 09 18 26 41 45;1;9;18;26;41;45
14/07/2021;04 11 22 29 37 43;4;11;22;29;37;43
11/07/2021;02 08 15 17 19 30;2;8;15;17;19;30
09/07/2021;04 09 17 18 28 32;4;9;17;18;28;32
07/07/2021;01 06 13 30 34 43;1;6;13;30;34;43
04/07/2021;03 14 15 21 26 37;3;14;15;21;26;37
02/07/2021;01 14 15 18 32 45;1;14;15;18;32;45
30/06/2021;02 05 06 08 10 32;2;5;6;8;10;32
27/06/2021;05 10 29 37 42 44;5;10;29;37;42;44
25/06/2021;03 05 06 23 24 39;3;5;6;23;24;39
23/06/2021;04 07 20 28 33 41;4;7;20;28;33;41
20/06/2021;10 24 27 42 43 45;10;24;27;42;43;45
18/06/2021;10 11 28 29 40 42;10;11;28;29;40;42
16/06/2021;11 19 24 28 31 39;11;19;24;28;31;39
13/06/2021;03 10 12 13 36 44;3;10;12;13;36;44
11/06/2021;08 12 13 14 32 40;8;12;13;14;32;40
09/06/2021;02 07 18 20 24 36;2;7;18;20;24;36
06/06/2021;05 07 10 13 14 42;5;7;10;13;14;42
04/06/2021;19 24 31 32 35 36;19;24;31;32;35;36
02/06/2021;10 20 22 26 31 42;10;20;22;26;31;42
30/05/2021;07 10 19 30 40 45;7;10;19;30;40;45
28/05/2021;02 15 33 41 44 45;2;15;33;41;44;45
26/05/2021;01 10 22 36 38 45;1;10;22;36;38;45
23/05/2021;11 14 22 26 29 44;11;14;22;26;29;44
21/05/2021;04 28 37 38 40 42;4;28;37;38;40;42
19/05/2021;03 12 23 29 33 34;3;12;23;29;33;34
16/05/2021;13 23 33 37 40 43;13;23;33;37;40;43
14/05/2021;03 11 16 20 24 30;3;11;16;20;24;30
12/05/2021;09 15 22 27 34 42;9;15;22;27;34;42
09/05/2021;01 07 16 24 27 37;1;7;16;24;27;37
07/05/2021;10 20 21 27 33 34;10;20;21;27;33;34
05/05/2021;03 14 20 22 37 44;3;14;20;22;37;44
02/05/2021;07 08 30 35 40 44;7;8;30;35;40;44
30/04/2021;03 04 20 21 36 41;3;4;20;21;36;41
28/04/2021;21 39 40 41 43 45;21;39;40;41;43;45
25/04/2021;08 19 21 28 32 44;8;19;21;28;32;44
23/04/2021;13 16 18 22 34 39;13;16;18;22;34;39
21/04/2021;03 12 19 27 32 35;3;12;19;27;32;35
18/04/2021;07 09 15 23 26 27;7;9;15;23;26;27
16/04/2021;08 09 11 28 30 39;8;9;11;28;30;39
14/04/2021;11 12 16 18 33 35;11;12;16;18;33;35
11/04/2021;03 23 27 32 34 39;3;23;27;32;34;39
09/04/2021;03 04 08 17 19 37;3;4;8;17;19;37
07/04/2021;13 15 19 25 33 34;13;15;19;25;33;34
04/04/2021;05 20 27 30 38 43;5;20;27;30;38;43
02/04/2021;01 05 09 16 42 44;1;5;9;16;42;44
31/03/2021;02 04 06 36 41 42;2;4;6;36;41;42
28/03/2021;23 26 40 41 43 44;23;26;40;41;43;44
26/03/2021;02 11 15 18 23 42;2;11;15;18;23;42
24/03/2021;07 14 23 26 37 39;7;14;23;26;37;39
